Cluster ID,이메일 본문
3,"픽업트럭을 선호하는 고객님을 위한 특별 이벤트! 현대차 무료 용품 프로모션! 블랙박스 & 하이패스 무료 장착 혜택을 제공합니다., 현대차 현금 할인 프로모션! 7% 할인 (연식 변경 모델) 혜택을 제공합니다., 현대차 할부 지원 프로모션! 60개월 할부 특별금리 (2.5%) 혜택을 제공합니다. 지금 신청하세요."
3,"픽업트럭을 선호하는 고객님을 위한 특별 이벤트! 현대차 현금 할인 프로모션! 5% 할인 (재고 차량) 혜택을 제공합니다., 현대차 보험 지원 프로모션! 첫해 자동차 보험료 50만원 지원 혜택을 제공합니다., 현대차 무료 용품 프로모션! 프리미엄 썬팅 무료 제공 혜택을 제공합니다. 지금 신청하세요."
6,"소형 해치백을 찾고 계신가요? 현대차 보증 연장 프로모션! 기본 보증 3년 → 5년 연장 혜택을 제공합니다., 현대차 무료 용품 프로모션! 차량용 공기청정기 증정 혜택을 제공합니다., 현대차 트레이드인 보상 프로모션! 기존 차량 반납 시 최대 100만원 보상 혜택을 제공합니다. 혜택을 제공합니다."
2,"중형 SUV를 선호하는 고객님께 맞춤 프로모션! 현대차 전기차 혜택 프로모션! 태양광 충전 패널 할인 혜택을 제공합니다., 현대차 할부 지원 프로모션! 60개월 할부 특별금리 (2.5%) 혜택을 제공합니다., 현대차 트레이드인 보상 프로모션! 노후 차량 교체 시 추가 50만원 지원 혜택을 제공합니다. 혜택을 받아보세요."
7,"현금 결제로 소형 해치백을 구매하시는 고객님께 드리는 특별 혜택! 현대차 트레이드인 보상 프로모션! SUV 트레이드인 특별 보상 혜택을 제공합니다., 현대차 기타 혜택 프로모션! 신차 사전 계약금 50만원 지원 혜택을 제공합니다., 현대차 무료 용품 프로모션! 블랙박스 & 하이패스 무료 장착 혜택을 제공합니다. 확인하세요."
2,"중형 SUV를 선호하는 고객님께 맞춤 프로모션! 현대차 트레이드인 보상 프로모션! 기존 차량 반납 시 최대 100만원 보상 혜택을 제공합니다., 현대차 현금 할인 프로모션! 3% 할인 (특정 트림) 혜택을 제공합니다., 현대차 할부 지원 프로모션! 48개월 저금리 할부 (1.9%) 혜택을 제공합니다. 혜택을 받아보세요."
2,"중형 SUV를 선호하는 고객님께 맞춤 프로모션! 현대차 현금 할인 프로모션! 3% 할인 (특정 트림) 혜택을 제공합니다., 현대차 할부 지원 프로모션! 48개월 저금리 할부 (1.9%) 혜택을 제공합니다., 현대차 기타 혜택 프로모션! 신차 사전 계약금 50만원 지원 혜택을 제공합니다. 혜택을 받아보세요."
5,"대형 SUV 구매 고객님을 위한 한정 혜택! 현대차 트레이드인 보상 프로모션! 노후 차량 교체 시 추가 50만원 지원 혜택을 제공합니다., 현대차 보험 지원 프로모션! 자차 보험료 1년 지원 혜택을 제공합니다., 현대차 현금 할인 프로모션! 3% 할인 (특정 트림) 혜택을 제공합니다.. 지금이 기회입니다."
4,"중형 SUV 구매를 고려 중이신가요? 현대차 기타 혜택 프로모션! 신차 사전 계약금 50만원 지원 혜택을 제공합니다., 현대차 할부 지원 프로모션! 36개월 무이자 할부 혜택을 제공합니다., 현대차 전기차 혜택 프로모션! 전기차 충전 크레딧 30만원 지급 혜택을 제공합니다. 혜택을 확인하세요."
6,"소형 해치백을 찾고 계신가요? 현대차 현금 할인 프로모션! 3% 할인 (특정 트림) 혜택을 제공합니다., 현대차 현금 할인 프로모션! 7% 할인 (연식 변경 모델) 혜택을 제공합니다., 현대차 할부 지원 프로모션! 48개월 저금리 할부 (1.9%) 혜택을 제공합니다. 혜택을 제공합니다."
1,"준중형 세단을 선호하는 고객님을 위해 특별한 혜택을 준비했습니다. 현대차 트레이드인 보상 프로모션! 기존 차량 반납 시 최대 100만원 보상 혜택을 제공합니다., 현대차 현금 할인 프로모션! 7% 할인 (연식 변경 모델) 혜택을 제공합니다., 현대차 무료 용품 프로모션! 프리미엄 썬팅 무료 제공 혜택을 제공합니다.. 지금 확인하세요."
3,"픽업트럭을 선호하는 고객님을 위한 특별 이벤트! 현대차 무료 용품 프로모션! 블랙박스 & 하이패스 무료 장착 혜택을 제공합니다., 현대차 보증 연장 프로모션! 기본 보증 3년 → 5년 연장 혜택을 제공합니다., 현대차 보험 지원 프로모션! 첫해 자동차 보험료 50만원 지원 혜택을 제공합니다. 지금 신청하세요."
1,"준중형 세단을 선호하는 고객님을 위해 특별한 혜택을 준비했습니다. 현대차 기타 혜택 프로모션! 신차 사전 계약금 50만원 지원 혜택을 제공합니다., 현대차 현금 할인 프로모션! 5% 할인 (재고 차량) 혜택을 제공합니다., 현대차 현금 할인 프로모션! 7% 할인 (연식 변경 모델) 혜택을 제공합니다.. 지금 확인하세요."
7,"현금 결제로 소형 해치백을 구매하시는 고객님께 드리는 특별 혜택! 현대차 보증 연장 프로모션! 기본 보증 3년 → 5년 연장 혜택을 제공합니다., 현대차 보험 지원 프로모션! 운전자 보험 무료 제공 혜택을 제공합니다., 현대차 현금 할인 프로모션! 5% 할인 (재고 차량) 혜택을 제공합니다. 확인하세요."
4,"중형 SUV 구매를 고려 중이신가요? 현대차 트레이드인 보상 프로모션! 기존 차량 반납 시 최대 100만원 보상 혜택을 제공합니다., 현대차 현금 할인 프로모션! 5% 할인 (재고 차량) 혜택을 제공합니다., 현대차 보험 지원 프로모션! 첫해 자동차 보험료 50만원 지원 혜택을 제공합니다. 혜택을 확인하세요."
5,"대형 SUV 구매 고객님을 위한 한정 혜택! 현대차 무료 용품 프로모션! 블랙박스 & 하이패스 무료 장착 혜택을 제공합니다., 현대차 현금 할인 프로모션! 3% 할인 (특정 트림) 혜택을 제공합니다., 현대차 무료 용품 프로모션! 블랙박스 & 하이패스 무료 장착 혜택을 제공합니다.. 지금이 기회입니다."
4,"중형 SUV 구매를 고려 중이신가요? 현대차 할부 지원 프로모션! 36개월 무이자 할부 혜택을 제공합니다., 현대차 전기차 혜택 프로모션! 전기차 충전 크레딧 30만원 지급 혜택을 제공합니다., 현대차 보험 지원 프로모션! 첫해 자동차 보험료 50만원 지원 혜택을 제공합니다. 혜택을 확인하세요."
7,"현금 결제로 소형 해치백을 구매하시는 고객님께 드리는 특별 혜택! 현대차 무료 용품 프로모션! 프리미엄 썬팅 무료 제공 혜택을 제공합니다., 현대차 트레이드인 보상 프로모션! 노후 차량 교체 시 추가 50만원 지원 혜택을 제공합니다., 현대차 보증 연장 프로모션! 기본 보증 3년 → 5년 연장 혜택을 제공합니다. 확인하세요."
2,"중형 SUV를 선호하는 고객님께 맞춤 프로모션! 현대차 보증 연장 프로모션! 전기차 배터리 보증 8년/16만 km 혜택을 제공합니다., 현대차 할부 지원 프로모션! 48개월 저금리 할부 (1.9%) 혜택을 제공합니다., 현대차 할부 지원 프로모션! 36개월 무이자 할부 혜택을 제공합니다. 혜택을 받아보세요."
5,"대형 SUV 구매 고객님을 위한 한정 혜택! 현대차 무료 용품 프로모션! 블랙박스 & 하이패스 무료 장착 혜택을 제공합니다., 현대차 할부 지원 프로모션! 60개월 할부 특별금리 (2.5%) 혜택을 제공합니다., 현대차 전기차 혜택 프로모션! 태양광 충전 패널 할인 혜택을 제공합니다.. 지금이 기회입니다."
2,"중형 SUV를 선호하는 고객님께 맞춤 프로모션! 현대차 기타 혜택 프로모션! 신차 사전 계약금 50만원 지원 혜택을 제공합니다., 현대차 할부 지원 프로모션! 60개월 할부 특별금리 (2.5%) 혜택을 제공합니다., 현대차 트레이드인 보상 프로모션! 기존 차량 반납 시 최대 100만원 보상 혜택을 제공합니다. 혜택을 받아보세요."
2,"중형 SUV를 선호하는 고객님께 맞춤 프로모션! 현대차 전기차 혜택 프로모션! 태양광 충전 패널 할인 혜택을 제공합니다., 현대차 전기차 혜택 프로모션! 충전소 이용료 1년간 50% 할인 혜택을 제공합니다., 현대차 전기차 혜택 프로모션! 전기차 충전 크레딧 30만원 지급 혜택을 제공합니다. 혜택을 받아보세요."
8,"준대형 세단 구매 고객님께 한정된 혜택을 제공합니다. 현대차 전기차 혜택 프로모션! 태양광 충전 패널 할인 혜택을 제공합니다., 현대차 보험 지원 프로모션! 운전자 보험 무료 제공 혜택을 제공합니다., 현대차 무료 용품 프로모션! 블랙박스 & 하이패스 무료 장착 혜택을 제공합니다.. 서둘러 상담하세요."
4,"중형 SUV 구매를 고려 중이신가요? 현대차 보증 연장 프로모션! 엔진 보증 10년/20만 km 제공 혜택을 제공합니다., 현대차 전기차 혜택 프로모션! 태양광 충전 패널 할인 혜택을 제공합니다., 현대차 전기차 혜택 프로모션! 전기차 충전 크레딧 30만원 지급 혜택을 제공합니다. 혜택을 확인하세요."
2,"중형 SUV를 선호하는 고객님께 맞춤 프로모션! 현대차 할부 지원 프로모션! 60개월 할부 특별금리 (2.5%) 혜택을 제공합니다., 현대차 전기차 혜택 프로모션! 전기차 충전 크레딧 30만원 지급 혜택을 제공합니다., 현대차 무료 용품 프로모션! 차량용 공기청정기 증정 혜택을 제공합니다. 혜택을 받아보세요."
4,"중형 SUV 구매를 고려 중이신가요? 현대차 트레이드인 보상 프로모션! SUV 트레이드인 특별 보상 혜택을 제공합니다., 현대차 보험 지원 프로모션! 자차 보험료 1년 지원 혜택을 제공합니다., 현대차 할부 지원 프로모션! 60개월 할부 특별금리 (2.5%) 혜택을 제공합니다. 혜택을 확인하세요."
8,"준대형 세단 구매 고객님께 한정된 혜택을 제공합니다. 현대차 보증 연장 프로모션! 전기차 배터리 보증 8년/16만 km 혜택을 제공합니다., 현대차 할부 지원 프로모션! 48개월 저금리 할부 (1.9%) 혜택을 제공합니다., 현대차 무료 용품 프로모션! 블랙박스 & 하이패스 무료 장착 혜택을 제공합니다.. 서둘러 상담하세요."
5,"대형 SUV 구매 고객님을 위한 한정 혜택! 현대차 보험 지원 프로모션! 첫해 자동차 보험료 50만원 지원 혜택을 제공합니다., 현대차 기타 혜택 프로모션! 신차 사전 계약금 50만원 지원 혜택을 제공합니다., 현대차 할부 지원 프로모션! 60개월 할부 특별금리 (2.5%) 혜택을 제공합니다.. 지금이 기회입니다."
8,"준대형 세단 구매 고객님께 한정된 혜택을 제공합니다. 현대차 무료 용품 프로모션! 프리미엄 썬팅 무료 제공 혜택을 제공합니다., 현대차 보험 지원 프로모션! 첫해 자동차 보험료 50만원 지원 혜택을 제공합니다., 현대차 보험 지원 프로모션! 첫해 자동차 보험료 50만원 지원 혜택을 제공합니다.. 서둘러 상담하세요."
3,"픽업트럭을 선호하는 고객님을 위한 특별 이벤트! 현대차 할부 지원 프로모션! 48개월 저금리 할부 (1.9%) 혜택을 제공합니다., 현대차 전기차 혜택 프로모션! 태양광 충전 패널 할인 혜택을 제공합니다., 현대차 트레이드인 보상 프로모션! 기존 차량 반납 시 최대 100만원 보상 혜택을 제공합니다. 지금 신청하세요."
1,"준중형 세단을 선호하는 고객님을 위해 특별한 혜택을 준비했습니다. 현대차 무료 용품 프로모션! 블랙박스 & 하이패스 무료 장착 혜택을 제공합니다., 현대차 트레이드인 보상 프로모션! SUV 트레이드인 특별 보상 혜택을 제공합니다., 현대차 보험 지원 프로모션! 첫해 자동차 보험료 50만원 지원 혜택을 제공합니다.. 지금 확인하세요."
5,"대형 SUV 구매 고객님을 위한 한정 혜택! 현대차 할부 지원 프로모션! 36개월 무이자 할부 혜택을 제공합니다., 현대차 전기차 혜택 프로모션! 태양광 충전 패널 할인 혜택을 제공합니다., 현대차 보증 연장 프로모션! 전기차 배터리 보증 8년/16만 km 혜택을 제공합니다.. 지금이 기회입니다."
7,"현금 결제로 소형 해치백을 구매하시는 고객님께 드리는 특별 혜택! 현대차 할부 지원 프로모션! 36개월 무이자 할부 혜택을 제공합니다., 현대차 보증 연장 프로모션! 기본 보증 3년 → 5년 연장 혜택을 제공합니다., 현대차 무료 용품 프로모션! 블랙박스 & 하이패스 무료 장착 혜택을 제공합니다. 확인하세요."
7,"현금 결제로 소형 해치백을 구매하시는 고객님께 드리는 특별 혜택! 현대차 현금 할인 프로모션! 7% 할인 (연식 변경 모델) 혜택을 제공합니다., 현대차 할부 지원 프로모션! 48개월 저금리 할부 (1.9%) 혜택을 제공합니다., 현대차 기타 혜택 프로모션! 구매 고객 정기 점검 쿠폰 3회 지급 혜택을 제공합니다. 확인하세요."
2,"중형 SUV를 선호하는 고객님께 맞춤 프로모션! 현대차 보험 지원 프로모션! 운전자 보험 무료 제공 혜택을 제공합니다., 현대차 기타 혜택 프로모션! 전시장 방문 고객 기념품 제공 혜택을 제공합니다., 현대차 무료 용품 프로모션! 차량용 공기청정기 증정 혜택을 제공합니다. 혜택을 받아보세요."
2,"중형 SUV를 선호하는 고객님께 맞춤 프로모션! 현대차 할부 지원 프로모션! 48개월 저금리 할부 (1.9%) 혜택을 제공합니다., 현대차 전기차 혜택 프로모션! 충전소 이용료 1년간 50% 할인 혜택을 제공합니다., 현대차 전기차 혜택 프로모션! 태양광 충전 패널 할인 혜택을 제공합니다. 혜택을 받아보세요."
5,"대형 SUV 구매 고객님을 위한 한정 혜택! 현대차 보증 연장 프로모션! 기본 보증 3년 → 5년 연장 혜택을 제공합니다., 현대차 트레이드인 보상 프로모션! 기존 차량 반납 시 최대 100만원 보상 혜택을 제공합니다., 현대차 보증 연장 프로모션! 엔진 보증 10년/20만 km 제공 혜택을 제공합니다.. 지금이 기회입니다."
7,"현금 결제로 소형 해치백을 구매하시는 고객님께 드리는 특별 혜택! 현대차 전기차 혜택 프로모션! 충전소 이용료 1년간 50% 할인 혜택을 제공합니다., 현대차 트레이드인 보상 프로모션! SUV 트레이드인 특별 보상 혜택을 제공합니다., 현대차 트레이드인 보상 프로모션! 노후 차량 교체 시 추가 50만원 지원 혜택을 제공합니다. 확인하세요."
6,"소형 해치백을 찾고 계신가요? 현대차 보증 연장 프로모션! 엔진 보증 10년/20만 km 제공 혜택을 제공합니다., 현대차 보험 지원 프로모션! 운전자 보험 무료 제공 혜택을 제공합니다., 현대차 보증 연장 프로모션! 엔진 보증 10년/20만 km 제공 혜택을 제공합니다. 혜택을 제공합니다."
6,"소형 해치백을 찾고 계신가요? 현대차 트레이드인 보상 프로모션! SUV 트레이드인 특별 보상 혜택을 제공합니다., 현대차 현금 할인 프로모션! 3% 할인 (특정 트림) 혜택을 제공합니다., 현대차 할부 지원 프로모션! 48개월 저금리 할부 (1.9%) 혜택을 제공합니다. 혜택을 제공합니다."
8,"준대형 세단 구매 고객님께 한정된 혜택을 제공합니다. 현대차 보증 연장 프로모션! 전기차 배터리 보증 8년/16만 km 혜택을 제공합니다., 현대차 무료 용품 프로모션! 차량용 공기청정기 증정 혜택을 제공합니다., 현대차 트레이드인 보상 프로모션! SUV 트레이드인 특별 보상 혜택을 제공합니다.. 서둘러 상담하세요."
4,"중형 SUV 구매를 고려 중이신가요? 현대차 보험 지원 프로모션! 운전자 보험 무료 제공 혜택을 제공합니다., 현대차 현금 할인 프로모션! 5% 할인 (재고 차량) 혜택을 제공합니다., 현대차 전기차 혜택 프로모션! 충전소 이용료 1년간 50% 할인 혜택을 제공합니다. 혜택을 확인하세요."
2,"중형 SUV를 선호하는 고객님께 맞춤 프로모션! 현대차 현금 할인 프로모션! 5% 할인 (재고 차량) 혜택을 제공합니다., 현대차 보험 지원 프로모션! 운전자 보험 무료 제공 혜택을 제공합니다., 현대차 보험 지원 프로모션! 운전자 보험 무료 제공 혜택을 제공합니다. 혜택을 받아보세요."
5,"대형 SUV 구매 고객님을 위한 한정 혜택! 현대차 전기차 혜택 프로모션! 충전소 이용료 1년간 50% 할인 혜택을 제공합니다., 현대차 기타 혜택 프로모션! 신차 사전 계약금 50만원 지원 혜택을 제공합니다., 현대차 할부 지원 프로모션! 48개월 저금리 할부 (1.9%) 혜택을 제공합니다.. 지금이 기회입니다."
3,"픽업트럭을 선호하는 고객님을 위한 특별 이벤트! 현대차 무료 용품 프로모션! 프리미엄 썬팅 무료 제공 혜택을 제공합니다., 현대차 트레이드인 보상 프로모션! 기존 차량 반납 시 최대 100만원 보상 혜택을 제공합니다., 현대차 무료 용품 프로모션! 프리미엄 썬팅 무료 제공 혜택을 제공합니다. 지금 신청하세요."
6,"소형 해치백을 찾고 계신가요? 현대차 할부 지원 프로모션! 36개월 무이자 할부 혜택을 제공합니다., 현대차 무료 용품 프로모션! 블랙박스 & 하이패스 무료 장착 혜택을 제공합니다., 현대차 무료 용품 프로모션! 프리미엄 썬팅 무료 제공 혜택을 제공합니다. 혜택을 제공합니다."
3,"픽업트럭을 선호하는 고객님을 위한 특별 이벤트! 현대차 기타 혜택 프로모션! 전시장 방문 고객 기념품 제공 혜택을 제공합니다., 현대차 기타 혜택 프로모션! 전시장 방문 고객 기념품 제공 혜택을 제공합니다., 현대차 트레이드인 보상 프로모션! 기존 차량 반납 시 최대 100만원 보상 혜택을 제공합니다. 지금 신청하세요."
8,"준대형 세단 구매 고객님께 한정된 혜택을 제공합니다. 현대차 기타 혜택 프로모션! 구매 고객 정기 점검 쿠폰 3회 지급 혜택을 제공합니다., 현대차 무료 용품 프로모션! 블랙박스 & 하이패스 무료 장착 혜택을 제공합니다., 현대차 할부 지원 프로모션! 36개월 무이자 할부 혜택을 제공합니다.. 서둘러 상담하세요."
2,"중형 SUV를 선호하는 고객님께 맞춤 프로모션! 현대차 무료 용품 프로모션! 블랙박스 & 하이패스 무료 장착 혜택을 제공합니다., 현대차 보험 지원 프로모션! 첫해 자동차 보험료 50만원 지원 혜택을 제공합니다., 현대차 할부 지원 프로모션! 60개월 할부 특별금리 (2.5%) 혜택을 제공합니다. 혜택을 받아보세요."
1,"준중형 세단을 선호하는 고객님을 위해 특별한 혜택을 준비했습니다. 현대차 보증 연장 프로모션! 기본 보증 3년 → 5년 연장 혜택을 제공합니다., 현대차 전기차 혜택 프로모션! 태양광 충전 패널 할인 혜택을 제공합니다., 현대차 현금 할인 프로모션! 5% 할인 (재고 차량) 혜택을 제공합니다.. 지금 확인하세요."
4,"중형 SUV 구매를 고려 중이신가요? 현대차 무료 용품 프로모션! 차량용 공기청정기 증정 혜택을 제공합니다., 현대차 전기차 혜택 프로모션! 태양광 충전 패널 할인 혜택을 제공합니다., 현대차 무료 용품 프로모션! 차량용 공기청정기 증정 혜택을 제공합니다. 혜택을 확인하세요."
3,"픽업트럭을 선호하는 고객님을 위한 특별 이벤트! 현대차 무료 용품 프로모션! 블랙박스 & 하이패스 무료 장착 혜택을 제공합니다., 현대차 보험 지원 프로모션! 첫해 자동차 보험료 50만원 지원 혜택을 제공합니다., 현대차 전기차 혜택 프로모션! 태양광 충전 패널 할인 혜택을 제공합니다. 지금 신청하세요."
4,"중형 SUV 구매를 고려 중이신가요? 현대차 기타 혜택 프로모션! 구매 고객 정기 점검 쿠폰 3회 지급 혜택을 제공합니다., 현대차 보증 연장 프로모션! 기본 보증 3년 → 5년 연장 혜택을 제공합니다., 현대차 트레이드인 보상 프로모션! 노후 차량 교체 시 추가 50만원 지원 혜택을 제공합니다. 혜택을 확인하세요."
2,"중형 SUV를 선호하는 고객님께 맞춤 프로모션! 현대차 현금 할인 프로모션! 5% 할인 (재고 차량) 혜택을 제공합니다., 현대차 트레이드인 보상 프로모션! 노후 차량 교체 시 추가 50만원 지원 혜택을 제공합니다., 현대차 트레이드인 보상 프로모션! 기존 차량 반납 시 최대 100만원 보상 혜택을 제공합니다. 혜택을 받아보세요."
4,"중형 SUV 구매를 고려 중이신가요? 현대차 트레이드인 보상 프로모션! 노후 차량 교체 시 추가 50만원 지원 혜택을 제공합니다., 현대차 전기차 혜택 프로모션! 충전소 이용료 1년간 50% 할인 혜택을 제공합니다., 현대차 할부 지원 프로모션! 36개월 무이자 할부 혜택을 제공합니다. 혜택을 확인하세요."
6,"소형 해치백을 찾고 계신가요? 현대차 보증 연장 프로모션! 엔진 보증 10년/20만 km 제공 혜택을 제공합니다., 현대차 현금 할인 프로모션! 7% 할인 (연식 변경 모델) 혜택을 제공합니다., 현대차 전기차 혜택 프로모션! 전기차 충전 크레딧 30만원 지급 혜택을 제공합니다. 혜택을 제공합니다."
1,"준중형 세단을 선호하는 고객님을 위해 특별한 혜택을 준비했습니다. 현대차 전기차 혜택 프로모션! 태양광 충전 패널 할인 혜택을 제공합니다., 현대차 보험 지원 프로모션! 자차 보험료 1년 지원 혜택을 제공합니다., 현대차 기타 혜택 프로모션! 전시장 방문 고객 기념품 제공 혜택을 제공합니다.. 지금 확인하세요."
5,"대형 SUV 구매 고객님을 위한 한정 혜택! 현대차 기타 혜택 프로모션! 신차 사전 계약금 50만원 지원 혜택을 제공합니다., 현대차 현금 할인 프로모션! 5% 할인 (재고 차량) 혜택을 제공합니다., 현대차 보증 연장 프로모션! 전기차 배터리 보증 8년/16만 km 혜택을 제공합니다.. 지금이 기회입니다."
5,"대형 SUV 구매 고객님을 위한 한정 혜택! 현대차 현금 할인 프로모션! 3% 할인 (특정 트림) 혜택을 제공합니다., 현대차 현금 할인 프로모션! 5% 할인 (재고 차량) 혜택을 제공합니다., 현대차 보험 지원 프로모션! 운전자 보험 무료 제공 혜택을 제공합니다.. 지금이 기회입니다."
1,"준중형 세단을 선호하는 고객님을 위해 특별한 혜택을 준비했습니다. 현대차 현금 할인 프로모션! 5% 할인 (재고 차량) 혜택을 제공합니다., 현대차 전기차 혜택 프로모션! 전기차 충전 크레딧 30만원 지급 혜택을 제공합니다., 현대차 트레이드인 보상 프로모션! SUV 트레이드인 특별 보상 혜택을 제공합니다.. 지금 확인하세요."
